/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")

/* PLAYER 0 VEHICLES */
Transporter				_("Cyborg Transport")
ConstructionDroid			_("Truck")
ViperLtMGWheels				_("Machinegun Viper Wheels")

/* PLAYER 1 - NP VEHICLES */
ConstructionDroidNP			"*NP - Scorpion Constructor*"
NP-L-RocketPod-Wheels			"*NP-L-RocketPod-Wheels*"
NP-L-MRLS-Halftrack			"*NP-L-MRLS-Half-track*"
NP-L-HMG-Halftrack			"*NP-L-HMG-Half-track*"
NP-L-LtAT-Halftrack			"*NP-L-LtAT-Half-track*"
NP-L-Sensor-Wheels			"*NP-L-Sensor-Wheels*"
NP-M-Command-Halftrack			"*NP-M-Command-Half-track*"
NP-M-Sensor-Wheels			"*NP-M-Sensor-Wheels*"
NP-M-LitCannon-Halftrack			"*NP-M-LtCannon-Half-track*"
NP-M-MdCannon-Halftrack			"*NP-M-MdCannon-Half-track*"
NP-M-MdCannon-Tracks			"*NP-M-MdCannon-Tracks*"
NP-M-LtMortar-Halftrack			"*NP-M-LtMortar-Half-track*"
NP-M-HvyMortar-Halftrack		"*NP-M-HvyMortar-Half-track*"
NP-M-BB-Halftrack				"*NP-M-BB-Half-track*"
NP-H-MdCannon-Tracks			"*NP-H-MdCannon-Tracks*"
NP-H-HvyCannon-Tracks			"*NP-H-HvyCannon-Tracks*"
//NP-Light-test-vehicle			"*NP-L-MdCannon-Tracks*"

NP-M-LtAT-Hover				"*NP-M-LtAT-Hover*"
NP-H-HvyCannon-Hover			"*NP-H-HvyCannon-Hover*"
NP-M-MG3-Hover				"*NP-M-MG3-Hover*"
NP-M-CON-HalfTrack			"*NP-M-CON-Half-track*"
NP-M-CON-Track				"*NP-M-CON-Track*"
NP-M-Repair-HalfTrack			"*NP-M-Repair-Half-track*"

NP-M-Command-Track			"*NP-M-Command-Track*"
//NP-M-Command-Hover			"*NP-M-Command-Hover*"
NP-M-CBS-Halftrack			"*NP-M-CBS-Halftrack*"
NP-L-LtCannon-Halftrack			"*NP-L-LtCannon-Halftrack*"
//NP-H-MdCannon-Hover			"*NP-H-MdCannon-Hover*"

/* PLAYER 2 - CO VEHICLES */
CO-M-Con-Htrack				"*CO-M-Con-Htrack*"

CO-M-Mortar1-Halftrack			"*CO-M-Mortar1-Halftrack*"
CO-H-How105-Tracks			"*CO-H-How105-Tracks*"
CO-H-How150-Tracks			"*CO-H-How150-Tracks*"

CO-M-AA1-HalfTrack			"*CO-M-AA1-HalfTrack*"
CO-H-AA2-HalfTrack			"*CO-H-AA2-HalfTrack*"

CO-L-RotMG-Wheels				"*CO-S-RotMG-Wheels*"
CO-M-MedCan-Tracks			"*CO-M-MedCan-Tracks*"
CO-H-HvyCan-Tracks			"*CO-H-HvyCan-Tracks*"

CO-L-Rocket-VTOL-Pod-VTOL		"*CO-L-POD-VTOL*"
//CO-L-RotCan-VTOL			"*CO-L-RotCan-VTOL*"

CO-L-RotMG-HalfTrack			"*CO-L-RotMG-HalfTrack*"

CO-M-Sensor-Half-Track			"*CO-M-Sensor-Half-Track*"

CO-L-Rocket-BB-Hover			"*CO-L-Rocket-BB-Hover*"
CO-L-RotMg-Hover				"*CO-L-RotMg-Hover*"

CO-M-Repair-HalfTrack			"*CO-M-Repair-HalfTrack*"
CO-M-CBS-Halftrack			"*CO-M-CBS-Halftrack*"
CO-M-Vstrike-Halftrack			"*CO-M-Vstrike-Halftrack*"
CO-M-VTOLCBS-Halftrack			"*CO-M-VTOLCBS-Halftrack*"
CO-M-Command-Track			"*CO-M-Command-Track*"
CO-H-Command-Track			"*CO-H-Command-Track*"
CO-L-HMG-Wheels				"*CO-L-HMG-Wheels*"
CO-L-POD-Wheels				"*CO-L-POD-Wheels*"
CO-M-HPVCannon-Tracks			"*CO-M-HPVCannon-Tracks*"
CO-M-MRL-Halftrack			"*CO-M-MRL-Halftrack*"
CO-M-Rocket-LtA-T-Halftrack		"*CO-M-Rocket-LtA-T-Halftrack*"
CO-M-Rocket-BB-Halftrack		"*CO-M-Rocket-BB-Halftrack*"
CO-M-Rocket-HvyA-T-Track		"*CO-M-Rocket-HvyA-T-Track*"
CO-H-RotCan-Track			"*CO-H-RotCan-Track*"
CO-H-HPVCannon-Tracks			"*CO-H-HPVCannon-Tracks*"
CO-H-Rocket-BB-Halftrack		"*CO-H-BB-Halftrack*"
CO-M-HvMortar-Halftrack			"*CO-M-HvMortar-Halftrack*"
CO-M-RotMortar-Halftrack		"*CO-M-RotMortar-Halftrack*"
CO-H-RotHow-Track			"*CO-H-RotHow-Track*"
CO-L-Rocket-LtA-T-VTOL			"*CO-L-LtATRkt-VTOL*"
CO-L-MG2-VTOL				"*CO-L-MG2-VTOL*"
CO-L-RotMG-VTOL				"*CO-L-RotMG-VTOL*"
CO-M-Bomb1-VTOL				"*CO-M-Bomb1-VTOL*"
CO-M-Bomb2-VTOL				"*CO-M-Bomb2-VTOL*"
CO-M-QuadMG1AA-Halftrack		"*CO-M-QuadMG1AA-Halftrack*"
CO-H-QuadRotAA-Halftrack		"*CO-H-QuadRotAA-Halftrack*"
CO-L-Rocket-LtA-T-Hover			"*CO-L-Rocket-LtA-T-Hover*"

/* PLAYER 3 - NX VEHICLES */

//NX-M-Missile-LtSAM-HT			"*NX-M-SAMissle1-HT*"
//NX-M-PulseLas1-Track 			"*NX-M-PulseLas1-Track*"
NX-M-Rail2-Hover			"*NX-M-Rail2-Hover*"
