Body key,Unused,Size,Build power,Build points,Weight,Body points,Body model,Unused,Weapon slots,Engine power,AFRK,AFRH,AREK,AREH,ALEK,ALEH,ARIK,ARIH,ATOK,ATOH,ABOK,ABOH,Flame model,Designable
ZNULLBODY,Level All,LIGHT,0,0,0,0,MIBNKBOD.PIE,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TransporterBody,Level All,HEAVY,53,265,0,200,drcytran.pie,100,1,1000,16,16,16,16,16,16,16,16,16,16,16,16,0,0
SuperTransportBody,Level All,HEAVY,649,3246,0,1600,drtrans.pie,100,1,24000,48,48,48,48,48,48,48,48,48,48,48,48,0,0
Superbody,Level All,HEAVY,10,10,2700,9000,DRHBOD11.PIE,500,1,40000,999,999,999,999,999,999,999,999,999,999,999,999,0,0
FireBody,Level One,LIGHT,8,38,250,40,EXFIRE.PIE,100,1,3000,5,7,5,7,5,7,5,7,5,7,5,7,0,1
BusBody,Level One,LIGHT,8,38,250,40,EXSCHOOL.PIE,100,1,3000,6,6,6,6,6,6,6,6,6,6,6,6,0,1
B4body-sml-trike01,Level One,LIGHT,2,11,0,15,extrike.PIE,35,1,1000,2,2,2,2,2,2,2,2,2,2,2,2,0,1
B3bodyRKbuggy01,Level One,LIGHT,3,16,0,20,exbugRK.PIE,50,1,1500,3,2,3,2,3,2,3,2,3,2,3,2,0,1
B3body-sml-buggy01,Level One,LIGHT,3,16,0,20,exbuggy.PIE,50,1,1500,3,2,3,2,3,2,3,2,3,2,3,2,0,1
B2RKJeepBody,Level One,LIGHT,4,22,0,25,EXjeepRK.PIE,50,1,2000,4,3,4,3,4,3,4,3,4,3,4,3,0,1
B2JeepBody,Level One,LIGHT,4,22,0,25,EXjeep.PIE,50,1,2000,4,3,4,3,4,3,4,3,4,3,4,3,0,1
B1BaBaPerson01,Level All,LIGHT,1,3,499,5,EXBLOKE.PIE,50,1,750,1,1,1,1,1,1,1,1,1,1,1,1,0,0
B2crane1,Level One,LIGHT,4,22,125,25,craneBody1.PIE,50,1,1500,4,4,4,4,4,4,4,4,4,4,4,4,0,1
B2crane2,Level One,LIGHT,8,38,125,40,craneBody2.PIE,50,1,1500,6,6,6,6,6,6,6,6,6,6,6,6,0,1
B2tractor,Level One,LIGHT,4,22,166,25,tractor.PIE,50,1,3000,4,4,4,4,4,4,4,4,4,4,4,4,0,1
ScavCamperBody,Level One,LIGHT,6,29,250,31,camper.PIE,100,1,3000,6,4,6,4,6,4,6,4,6,4,6,4,0,1
ScavIcevanBody,Level One,LIGHT,6,29,250,31,icevan.PIE,100,1,3000,4,6,4,6,4,6,4,6,4,6,4,6,0,1
ScavTruckBody,Level One,LIGHT,13,66,375,63,scavTruck.PIE,100,3,6000,10,10,10,10,10,10,10,10,10,10,10,10,0,1
ScavNEXUSbody,Level One,LIGHT,8,38,250,40,scavnexus.PIE,100,2,3000,7,5,7,5,7,5,7,5,7,5,7,5,0,1
ScavNEXUStrack,Level All,LIGHT,8,38,250,40,nextrack.PIE,100,1,3000,6,6,6,6,6,6,6,6,6,6,6,6,fxvtl5to8.pie,1
ScavengerChopper,Level One,LIGHT,13,66,500,63,scavchop.PIE,100,3,6000,10,10,10,10,10,10,10,10,10,10,10,10,chblades.pie,1
HeavyChopper,Level One,LIGHT,17,87,500,79,hvychop.PIE,100,1,6000,13,13,13,13,13,13,13,13,13,13,13,13,hvyblades.pie,1
MiniExcavatorBody,Level All,MEDIUM,110,2500,250,400,craneBody2.pie,100,1,5000,5,5,5,5,5,5,5,5,5,5,5,5,0,1
MiniBuggyBody,Level One,LIGHT,50,600,250,100,EXjeepRK.PIE,35,1,500,5,0,5,0,5,0,5,0,5,0,5,0,0,1
MiniCamperBody,Level One,LIGHT,50,900,250,150,camper.PIE,35,1,3000,5,0,5,0,5,0,5,0,5,0,5,0,0,1
MiniFiretruckBody,Level One,MEDIUM,75,1200,300,200,EXFIRE.PIE,35,2,3000,5,10,5,10,5,10,5,10,5,10,5,10,0,1
MiniHeavyTruckBody,Level One,MEDIUM,125,1500,300,600,scavTruck.PIE,35,3,5000,10,10,10,10,10,10,10,10,10,10,10,10,0,1
MiniIcevanBody,Level One,LIGHT,40,720,250,150,icevan.PIE,35,1,3000,0,5,0,5,0,5,0,5,0,5,0,5,0,1
MiniJeepBody,Level One,LIGHT,35,600,250,100,EXjeep.PIE,35,1,500,5,0,5,0,5,0,5,0,5,0,5,0,0,1
MiniMGChopperBody,Level One,LIGHT,100,2500,500,600,scavchop.PIE,35,3,500,0,0,0,0,0,0,0,0,0,0,0,0,chblades.pie,1
MiniChinookBody,Level One,LIGHT,350,4000,650,800,chinook.PIE,35,1,500,10,0,10,0,10,0,10,0,10,0,10,0,nblades.pie,1
MiniPoliceChopperBody,Level One,LIGHT,125,2500,500,600,hvychop.PIE,35,1,500,10,0,10,0,10,0,10,0,10,0,10,0,hvyblades.pie,1
MiniSchoolBusBody,Level One,MEDIUM,75,1200,300,200,EXSCHOOL.PIE,35,2,5000,10,5,10,5,10,5,10,5,10,5,10,5,0,1
MiniTractorBody,Level One,LIGHT,35,600,200,100,tractor.PIE,35,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MiniTrikeBody,Level One,LIGHT,30,600,200,100,extrike.PIE,35,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Body1REC,Level All,LIGHT,10,50,250,50,DRLBOD01.PIE,100,1,3000,10,6,10,6,10,6,10,6,10,6,10,6,fxvtl01.pie,1
Body2SUP,Level All,LIGHT,13,66,250,63,DRLBOD02.PIE,100,1,2381,11,9,11,9,11,9,11,9,11,9,11,9,fxvtl2and3.pie,1
