Research ID,Component ID,unused
R-Comp-CommandTurret02,CommandBrain01,BRAIN,10
R-Comp-CommandTurret03,CommandBrain02,BRAIN,10
R-Comp-CommandTurret04,CommandBrain03,BRAIN,10
R-Comp-CommandTurret02Hvy,CommandBrainHvy,BRAIN,10
R-Comp-CommandTurret03Hvy,CommandBrainHvy2,BRAIN,10
R-Comp-CommandTurret04Hvy,CommandBrainHvy3,BRAIN,10
R-Sys-Spade2Mk1,Cyb-Bod-ComEng,BODY,2
R-Sys-Spade2Mk1,Spade1Mk1,CONSTRUCT,11
R-Sys-Spade2Hvy,Spade1Hvy,CONSTRUCT,11
R-Sys-Spade2Hvy,HvyCyb-Bod-ComEng,BODY,11
R-Sys-Spade3Mk1,Cyb-Bod-ComEng2,BODY,2
R-Sys-Spade3Mk1,Spade2Mk1,CONSTRUCT,11
R-Sys-Spade3Hvy,Spade2Hvy,CONSTRUCT,11
R-Sys-Spade3Hvy,HvyCyb-Bod-ComEng2,BODY,11
R-Sys-Spade4Mk1,Cyb-Bod-ComEng3,BODY,2
R-Sys-Spade4Mk1,Spade3Mk1,CONSTRUCT,11
R-Sys-Spade4Hvy,Spade3Hvy,CONSTRUCT,11
R-Sys-Spade4Hvy,HvyCyb-Bod-ComEng3,BODY,11
R-Sys-MobileRepairTurret02,LightRepair1,REPAIR,6
R-Sys-MobileRepairTurret02,Cyb-Bod-Mechanic,BODY,2
R-Sys-MobileRepairTurretHvy2,HeavyRepair,REPAIR,6
R-Sys-MobileRepairTurretHvy2,HvyCyb-Bod-Mechanic,BODY,2
R-Sys-MobileRepairTurret03,LightRepair2,REPAIR,6
R-Sys-MobileRepairTurret03,Cyb-Bod-Mechanic2,BODY,2
R-Sys-MobileRepairTurretHvy3,HeavyRepair2,REPAIR,6
R-Sys-MobileRepairTurretHvy3,HvyCyb-Bod-Mechanic2,BODY,2
R-Sys-MobileRepairTurret04,LightRepair3,REPAIR,6
R-Sys-MobileRepairTurret04,Cyb-Bod-Mechanic3,BODY,2
R-Sys-MobileRepairTurretHvy4,HeavyRepair3,REPAIR,6
R-Sys-MobileRepairTurretHvy4,HvyCyb-Bod-Mechanic3,BODY,2
R-Sys-SpyTurret02,SpyTurret01,WEAPON,10
R-Sys-SpyTurret03,SpyTurret02,WEAPON,10
R-Wpn-AAGun04,QuadMg1AAGun,WEAPON,10
R-Wpn-HowitzerGauss,Howitzer105Mk1,WEAPON,10
R-Wpn-HowitzerGaussHvy,Howitzer150Mk1,WEAPON,10
R-Wpn-HowitzerGaussRot,Howitzer03-Rot,WEAPON,10
R-Wpn-HowitzerGaussInc,Howitzer-Incenediary,WEAPON,10
R-Wpn-HowitzerGaussHvyPlas,HowitzerHvyPlas,WEAPON,10
R-Wpn-HowitzerGaussRotPlas,HowitzerRotPlas,WEAPON,10
R-Wpn-HowitzerGaussRamjet,HowitzerRamjet,WEAPON,10
R-Wpn-HowitzerGaussRamjetHvy,HowitzerRamjetHvy,WEAPON,10
R-Wpn-HowitzerGaussRamjetRot,HowitzerRamjetRot,WEAPON,10
R-Wpn-HowitzerGaussBB,HowitzerBB,WEAPON,10
R-Wpn-HowitzerGattlingGauss,HowitzerGattling,WEAPON,10
R-Wpn-Mortar-Gauss,Mortar1Mk1,WEAPON,10
R-Wpn-Mortar-Gauss,Cyb-Bod-Grenade,BODY,10
R-Wpn-Mortar-GaussHvy,Mortar2Mk1,WEAPON,10
R-Wpn-Mortar-GaussRot,Mortar3ROTARYMk1,WEAPON,10
R-Wpn-Mortar-GaussInc,Mortar-Incenediary,WEAPON,10
R-Wpn-Mortar-GaussInc,Cyb-Bod-MortarInc,BODY,10
R-Wpn-Mortar-GaussRotPlas,MortarRotPlas,WEAPON,10
R-Wpn-Mortar-GaussHvyPlas,MortarHvyPlas,WEAPON,10
R-Wpn-Mortar-GaussRamjet,Mortar-Ramjet,WEAPON,10
R-Wpn-Mortar-GaussRamjet,HvyCyb-Bod-Mortar-Ramjet,BODY,10
R-Wpn-Mortar-GaussRamjetRot,Mortar-RamjetRot,WEAPON,10
R-Wpn-Mortar-GaussRamjetHvy,Mortar-RamjetHvy,WEAPON,10
R-Wpn-MortarGattlingGauss,MortarGattling,WEAPON,10
R-Wpn-Cannon4AMk1,Cannon2A-TMk1,WEAPON,10
R-Wpn-Cannon4AMk1,Cannon-Med-VTOL,WEAPON,10
R-Wpn-Cannon4AMk1,Cyb-Hvybod-Mcannon,BODY,2
R-Wpn-Cannon-HPVAslt,Cannon5VulcanMk1,WEAPON,10
R-Wpn-Cannon-HPVAslt,Cannon5Vulcan-VTOL,WEAPON,10
R-Wpn-Cannon-HPVAslt,Cyb-Hvybod-Acannon,BODY,10
R-Wpn-Cannon-HPVLgt,Cannon1Mk1,WEAPON,10
R-Wpn-Cannon-HPVLgt,Cannon1-VTOL,WEAPON,10
R-Wpn-Cannon-HPVLgt,CyborgCannonGrd,BODY,10
R-Wpn-Cannon-HPVHvy,Cannon375mmMk1,WEAPON,10
R-Wpn-Cannon-HPVTankDest,Cannon-TankDest,WEAPON,10
