Research ID,Structure ID,unused
R-Defense-SupercreteWall,A0HardcreteMk1Wall,0,93
R-Defense-PlascreteWall,SupercreteWall,0,93
R-Defense-PlasteelWall,PlascreteWall,0,93
R-Defense-SupercreteGate,A0HardcreteMk1Gate,0,666
R-Defense-PlascreteGate,SupercreteGate,0,666
R-Defense-PlasteelGate,PlascreteGate,0,666
R-Defense-Bunker4-Mortar-Gauss,Bunker-Mortar,0,0
R-Defense-Bunker4-Mortar-GaussHvy,Bunker-MortarHvy,0,0
R-Defense-Bunker4-Mortar-GaussRot,Bunker-MortarRot,0,0
R-Defense-Bunker4-Mortar-GaussInc,Bunker-MortarInc,0,0
R-Defense-Bunker4-Mortar-GaussHvyPlas,Bunker3-MortarHvyPlas,0,0
R-Defense-Bunker4-Mortar-GaussRotPlas,Bunker3-MortarRotPlas,0,0
R-Defense-Bunker4-Mortar-GaussRamjet,Bunker3-Mortar-Ramjet,0,0
R-Defense-Bunker4-Mortar-GaussRamjetHvy,Bunker3-Mortar-RamjetHvy,0,0
R-Defense-Bunker4-Mortar-GaussRamjetRot,Bunker3-Mortar-RamjetRot,0,0
R-Defense-Bunker4-MortarGattlingGauss,Bunker3-MortarGattling,0,0
R-Defense-Bunker4-HowitzerGauss,Bunker2-Howitzer,0,0
R-Defense-Bunker4-HowitzerGaussHvy,Bunker2-HowitzerHvy,0,0
R-Defense-Bunker4-HowitzerGaussRot,Bunker2-HowitzerRot,0,0
R-Defense-Bunker4-HowitzerGaussInc,Bunker2-HowitzerInc,0,0
R-Defense-Bunker4-HowitzerGaussHvyPlas,Bunker3-HowitzerHvyPlas,0,0
R-Defense-Bunker4-HowitzerGaussRotPlas,Bunker3-HowitzerRotPlas,0,0
R-Defense-Bunker4-HowitzerGaussRamjet,Bunker3-HowitzerRamjet,0,0
R-Defense-Bunker4-HowitzerGaussRamjetHvy,Bunker3-HowitzerRamjetHvy,0,0
R-Defense-Bunker4-HowitzerGaussRamjetRot,Bunker3-HowitzerRamjetRot,0,0
R-Defense-Bunker4-HowitzerGaussBB,Bunker3-HowitzerBB,0,0
R-Defense-Bunker4-HowitzerGattlingGauss,Bunker3-HowitzerGattling,0,0
R-Defense-Bunker2-Cannon-HPVLgt,PillBox4,0,0
R-Defense-Bunker2-Cannon-HPVMed,Bunker-Cannon-Med,0,0
R-Defense-Bunker2-Cannon-HPVHvy,Bunker-Cannon-Hvy,0,0
R-Defense-Bunker2-Cannon-HPVAslt,Bunker-Cannon-Aslt,0,0
R-Defense-Bunker2-Cannon-HPVTwinAslt,PillBox-Cannon6,0,0
R-Defense-Bunker3-Cannon-HPVGattling,Bunker2-Cannon-Gattling,0,0
R-Defense-Bunker3-Cannon-Plas,Bunker2-Cannon-Inc,0,0
R-Defense-Bunker3-Laser-AP3,Bunker2-Laser-AP1,0,0
R-Defense-Bunker3-Laser-AT3,Bunker2-Laser-AT1,0,0
R-Defense-Bunker3-Laser-AP4,Bunker2-Laser-AP2,0,0
R-Defense-Bunker3-Laser-AT4,Bunker2-Laser-AT2,0,0
R-Defense-Bunker3-Laser-AA2,Bunker-Laser-AA,0,0
R-Defense-Bunker-MG3Twin,PillBox2,0,0
R-Defense-Bunker2-MG4,PillBox3,0,0
R-Defense-Bunker2-MG5,Bunker-MG3Twin,0,0
R-Defense-Bunker2-MG-AntiTank2,Bunker-MG-AntiTank,0,0
R-Defense-Bunker2-MG-AntiTank2Twin,Bunker-MG-AntiTankTwin,0,0
R-Defense-Bunker2-MG-AA2Lgt,Bunker-MG-AALgt,0,0
R-Defense-Bunker2-MG-AA2,Bunker-MG-AA,0,0
R-Defense-Bunker3-MG4Inc,Bunker-MG3Inc,0,0
R-Defense-Bunker3-MG4IncTwin,Bunker-MG3IncTwin,0,0
R-Defense-Bunker3-Railgun-Gattling,Pillbox-RotMG,0,0
R-Defense-Bunker3-Railgun-GattlingInc,Bunker3-MG4Inc,0,0
R-Defense-Bunker3-Railgun-GattlingTwin,Bunker2-MG5,0,0
R-Defense-Bunker3-Railgun-GattlingIncTwin,Bunker3-MG4IncTwin,0,0
R-Defense-Bunker3-Railgun-GattlingAALgt,Bunker2-MG-AA2Lgt,0,0
R-Defense-Bunker3-Railgun-GattlingAA,Bunker2-MG-AA2,0,0
R-Defense-Bunker3-MG-AntiTankGss,Bunker2-MG-AntiTank2,0,0
R-Defense-Bunker3-MG-AntiTankGssTwin,Bunker2-MG-AntiTank2Twin,0,0
R-Defense-Bunker2-Railgun-Proto,Bunker-Railgun-Proto,0,0
R-Defense-Bunker3-Railgun-Lgt,Bunker2-Cannon-HPVLgt,0,0
R-Defense-Bunker3-Railgun-Med,Bunker2-Cannon-HPVMed,0,0
R-Defense-Bunker3-Railgun-Hvy,Bunker2-Cannon-HPVHvy,0,0
R-Defense-Bunker3-Railgun-Aslt,Bunker2-Cannon-HPVAslt,0,0
R-Defense-Bunker3-Railgun-TwinAslt,Bunker2-Cannon-HPVTwinAslt,0,0
R-Defense-Bunker3-Railgun-Shotgun,Bunker2-Cannon-Shotgun,0,0
R-Defense-Bunker3-Railgun-Sniper,Bunker2-Cannon-Sniper,0,0
R-Defense-Bunker3-Railgun-Flak,Bunker-Cannon-Flak,0,0
R-Defense-Bunker4-Railgun-GattlingAT,Bunker3-Cannon-HPVGattling,0,0
R-Defense-Bunker2-Rocket-AT2,PillBox6,0,0
R-Defense-Bunker3-Rocket-AT3,Bunker2-Rocket-AT2,0,0
R-Defense-Bunker2-Rocket-AT2Hvy,Bunker-Rocket-ATHvy,0,0
R-Defense-Bunker3-Rocket-AT3Hvy,Bunker2-Rocket-AT2Hvy,0,0
R-Defense-Bunker2-Rocket-Pod2,Bunker-Rocket-Pod,0,0
R-Defense-Bunker3-Rocket-Pod3,Bunker2-Rocket-Pod2,0,0
R-Defense-Bunker2-Rocket-Pod2Twin,Bunker-Rocket-PodTwin,0,0
R-Defense-Bunker3-Rocket-Pod3Twin,Bunker2-Rocket-Pod2Twin,0,0
R-Defense-Bunker2-Rocket-Pod2Quad,Bunker-Rocket-PodQuad,0,0
R-Defense-Bunker3-Rocket-Pod3Quad,Bunker2-Rocket-Pod2Quad,0,0
R-Defense-Bunker2-Rocket-TopAttack,Bunker-Rocket-MRL,0,0
R-Defense-Bunker2-Rocket-TopAttackHvy,Bunker-Rocket-MRLHvy,0,0
R-Defense-Bunker3-Rocket-Seraph,Bunker2-Rocket-TopAttack,0,0
R-Defense-Bunker3-Rocket-SeraphHvy,Bunker2-Rocket-TopAttackHvy,0,0
R-Defense-Bunker3-Rocket-TopAtkPlas,Bunker2-Rocket-TopAtkInc,0,0
R-Defense-Bunker3-Rocket-TopAtkPlasHvy,Bunker2-Rocket-TopAtkIncHvy,0,0
R-Defense-Bunker3-Rocket-Archangel,Bunker2-Rocket-Ripple,0,0
R-Defense-Bunker3-Rocket-Cherub,Bunker-Rocket-Sunburst,0,0
R-Defense-Bunker3-Rocket-SAM2,Bunker2-Rocket-SAM,0,0
R-Defense-Bunker3-Rocket-SAM2Hvy,Bunker2-Rocket-SAMHvy,0,0
R-Defense-Empl4-Mortar-Gauss,Emplacement-MortarPit01,0,0
R-Defense-Empl4-Mortar-GaussHvy,Emplacement-MortarPit02,0,0
R-Defense-Empl4-Mortar-GaussRot,Emplacement-RotMor,0,0
R-Defense-Empl4-Mortar-GaussInc,Emplacement-MortarPit-Incenediary,0,0
R-Defense-Empl4-Mortar-GaussHvyPlas,Empl3-MortarHvyPlas,0,0
R-Defense-Empl4-Mortar-GaussRotPlas,Empl3-MortarRotPlas,0,0
R-Defense-Empl4-Mortar-GaussRamjet,Empl3-Mortar-Ramjet,0,0
R-Defense-Empl4-Mortar-GaussRamjetHvy,Empl3-Mortar-RamjetHvy,0,0
R-Defense-Empl4-Mortar-GaussRamjetRot,Empl3-Mortar-RamjetRot,0,0
R-Defense-Empl4-MortarGattlingGauss,Empl3-MortarGattling,0,0
R-Defense-Empl4-HowitzerGauss,Emplacement-Howitzer105,0,0
R-Defense-Empl4-HowitzerGaussHvy,Emplacement-Howitzer150,0,0
R-Defense-Empl4-HowitzerGaussRot,Emplacement-RotHow,0,0
R-Defense-Empl4-HowitzerGaussInc,Emplacement-Howitzer-Incenediary,0,0
R-Defense-Empl4-HowitzerGaussHvyPlas,Empl3-HowitzerHvyPlas,0,0
R-Defense-Empl4-HowitzerGaussRotPlas,Empl3-HowitzerRotPlas,0,0
R-Defense-Empl4-HowitzerGaussRamjet,Empl3-HowitzerRamjet,0,0
R-Defense-Empl4-HowitzerGaussRamjetHvy,Empl3-HowitzerRamjetHvy,0,0
R-Defense-Empl4-HowitzerGaussRamjetRot,Empl3-HowitzerRamjetRot,0,0
R-Defense-Empl4-HowitzerGaussBB,Empl3-HowitzerBB,0,0
R-Defense-Empl4-HowitzerGattlingGauss,Empl3-HowitzerGattling,0,0
R-Defense-Empl2-Flame2,Empl-Flame1Mk1,0,0
R-Defense-Empl2-Flame2Med,Empl-Flame1Med,0,0
R-Defense-Empl2-Flame2Hvy,Empl-Flame1Hvy,0,0
R-Defense-Empl3-PlasmiteFlamer,Empl2-Flame2,0,0
R-Defense-Empl3-PlasmiteFlamerMed,Empl2-Flame2Med,0,0
R-Defense-Empl3-PlasmiteFlamerHvy,Empl2-Flame2Hvy,0,0
R-Defense-Empl3-Laser-AA2,Empl-Laser-AA,0,0
R-Defense-Empl2-MG-AA2Lgt,Empl-MG-AALgt,0,0
R-Defense-Empl2-MG-AA2,Empl-MG-AA,0,0
R-Defense-Empl3-Railgun-GattlingAALgt,Empl2-MG-AA2Lgt,0,0
R-Defense-Empl3-Railgun-GattlingAA,Empl2-MG-AA2,0,0
R-Defense-Empl3-Railgun-Flak,AASite-QuadBof,0,0
