Research ID,unused,Subgroup icon,Major tech,Main icon,IMD,IMD2,MsgName,StructName,CompName,CompType,ResearchPoints,keyTopic,unused,unused,unused,unused,unused,unused,0
R-T1Limiter,Level One,0,0,IMAGE_RES_COMPUTERTECH,icsynapt.PIE,0,0,0,0,0,1200,1,1,0,0,0,0,0,0
R-T2Limiter,Level One,0,0,IMAGE_RES_COMPUTERTECH,icsynapt.PIE,0,0,0,0,0,1200,1,1,0,0,0,0,0,0
R-NEXUS-Immunity,Level One,0,0,IMAGE_RES_COMPUTERTECH,icsynapt.PIE,0,0,0,0,0,1200,1,1,0,0,0,0,0,0
R-Comp-CommandTurret01,Level One,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,1615,0,1,0,0,0,0,0,0
R-Comp-CommandTurret02,Level One,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,2423,0,2,0,0,0,0,1,0
R-Comp-CommandTurret03,Level Two,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,3634,0,2,0,0,0,0,1,0
R-Comp-CommandTurret04,Level Three,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,4800,0,2,0,0,0,0,1,0
R-Comp-CommandTurret01Hvy,Level One,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,1615,0,1,0,0,0,0,0,0
R-Comp-CommandTurret02Hvy,Level One,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,2423,0,2,0,0,0,0,1,0
R-Comp-CommandTurret03Hvy,Level Two,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,3634,0,2,0,0,0,0,1,0
R-Comp-CommandTurret04Hvy,Level Three,0,0,IMAGE_RES_COMPUTERTECH,0,0,0,0,CommandBrain01,BRAIN,4800,0,2,0,0,0,0,1,0
R-Comp-SynapticLink,Level One,0,0,IMAGE_RES_COMPUTERTECH,icsynapt.PIE,0,0,0,0,0,1200,1,1,0,0,0,0,0,0
R-Cyborg-Armor-Heat01,Level Two,IMAGE_RES_GRPUPG,0,IMAGE_RES_CYBORGTECH,icamrhot.pie,0,0,0,0,0,3600,0,1,1,0,0,0,0,0
R-Cyborg-Armor-Heat02,Level Two-Three,IMAGE_RES_GRPUPG,1,IMAGE_RES_CYBORGTECH,icamrhot.pie,0,0,0,0,0,4800,0,1,1,0,0,0,0,0
R-Cyborg-Armor-Heat03,Level Two-Three,IMAGE_RES_GRPUPG,1,IMAGE_RES_CYBORGTECH,icamrhot.pie,0,0,0,0,0,6000,0,1,1,0,0,0,0,0
R-Cyborg-Armor-Heat04,Level Three,IMAGE_RES_GRPUPG,0,IMAGE_RES_CYBORGTECH,icamrhot.pie,0,0,0,0,0,8000,0,2,1,0,0,0,0,0
