Research ID,Function ID,unused
R-Struc-Factory-Upgrade01,Struc-Factory-Upgrade01,444
R-Struc-Factory-Upgrade02,Struc-Factory-Upgrade02,687
R-Struc-Factory-Upgrade03,Struc-Factory-Upgrade03,697
R-Struc-Factory-Upgrade04,Struc-Factory-Upgrade04,680
R-Struc-Factory-Upgrade05,Struc-Factory-Upgrade05,690
R-Struc-Factory-Upgrade06,Struc-Factory-Upgrade06,700
R-Struc-Factory-Upgrade07,Struc-Factory-Upgrade07,1144
R-Struc-Factory-Upgrade08,Struc-Factory-Upgrade08,1147
R-Struc-Factory-Upgrade09,Struc-Factory-Upgrade09,701
R-Struc-Materials01,Defense-WallUpgrade01,374
R-Struc-Materials02,Defense-WallUpgrade02,432
R-Struc-Materials03,Defense-WallUpgrade03,434
R-Struc-Materials04,Defense-WallUpgrade04,673
R-Struc-Materials05,Defense-WallUpgrade05,674
R-Struc-Materials06,Defense-WallUpgrade06,675
R-Struc-Materials07,Defense-WallUpgrade07,676
R-Struc-Materials08,Defense-WallUpgrade08,677
R-Struc-Materials09,Defense-WallUpgrade09,678
R-Struc-Materials01,Struc-Materials01,435
R-Struc-Materials02,Struc-Materials02,436
R-Struc-Materials03,Struc-Materials03,437
R-Struc-Materials04,Struc-Materials04,711
R-Struc-Materials05,Struc-Materials05,712
R-Struc-Materials06,Struc-Materials06,713
R-Struc-Materials07,Struc-Materials07,714
R-Struc-Materials08,Struc-Materials08,715
R-Struc-Materials09,Struc-Materials09,716
R-Struc-Power-Upgrade01,Struc-Power Upgrade01,718
R-Struc-Power-Upgrade02,Struc-Power Upgrade02,719
R-Struc-Power-Upgrade03,Struc-Power Upgrade03,1036
R-Struc-Power-Upgrade04,Struc-Power Upgrade04,1036
R-Struc-Power-Upgrade05,Struc-Power Upgrade05,1036
R-Struc-Power-Upgrade06,Struc-Power Upgrade06,1036
R-Struc-Power-Upgrade07,Struc-Power Upgrade07,1036
R-Struc-Power-Upgrade08,Struc-Power Upgrade08,1036
R-Struc-Power-Upgrade09,Struc-Power Upgrade09,1036
R-Struc-RprFac-Upgrade01,Struc-VTOLPad-Upgrade01,704
R-Struc-RprFac-Upgrade02,Struc-VTOLPad-Upgrade02,705
R-Struc-RprFac-Upgrade03,Struc-VTOLPad-Upgrade03,706
R-Struc-RprFac-Upgrade04,Struc-VTOLPad-Upgrade04,707
R-Struc-RprFac-Upgrade05,Struc-VTOLPad-Upgrade05,708
R-Struc-RprFac-Upgrade06,Struc-VTOLPad-Upgrade06,709
R-Struc-RprFac-Upgrade07,Struc-VTOLPad-Upgrade07,707
R-Struc-RprFac-Upgrade08,Struc-VTOLPad-Upgrade08,708
R-Struc-RprFac-Upgrade09,Struc-VTOLPad-Upgrade09,709
R-Struc-RprFac-Upgrade01,Struc-RprFac-Upgrade01,499
R-Struc-RprFac-Upgrade02,Struc-RprFac-Upgrade02,727
R-Struc-RprFac-Upgrade03,Struc-RprFac-Upgrade03,729
R-Struc-RprFac-Upgrade04,Struc-RprFac-Upgrade04,499
R-Struc-RprFac-Upgrade05,Struc-RprFac-Upgrade05,727
R-Struc-RprFac-Upgrade06,Struc-RprFac-Upgrade06,729
R-Struc-RprFac-Upgrade07,Struc-RprFac-Upgrade07,499
R-Struc-RprFac-Upgrade08,Struc-RprFac-Upgrade08,727
R-Struc-RprFac-Upgrade09,Struc-RprFac-Upgrade09,729
R-Struc-Research-Upgrade01,Struc-Research-Upgrade01,441
R-Struc-Research-Upgrade02,Struc-Research-Upgrade02,442
R-Struc-Research-Upgrade03,Struc-Research-Upgrade03,443
R-Struc-Research-Upgrade04,Struc-Research-Upgrade04,720
R-Struc-Research-Upgrade05,Struc-Research-Upgrade05,721
R-Struc-Research-Upgrade06,Struc-Research-Upgrade06,722
R-Struc-Research-Upgrade07,Struc-Research-Upgrade07,723
R-Struc-Research-Upgrade08,Struc-Research-Upgrade08,724
R-Struc-Research-Upgrade09,Struc-Research-Upgrade09,725
R-Sys-Autorepair-Upgrade01,Sys-Autorepair-Vehicle-Upgrade01,100
R-Sys-Autorepair-Upgrade02,Sys-Autorepair-Vehicle-Upgrade02,100
R-Sys-Engineering01,Sys-Engineering-Upgrade01,290
R-Sys-Engineering02,Sys-Engineering-Upgrade02,749
R-Sys-Engineering03,Sys-Engineering-Upgrade03,750
R-Sys-Engineering04,Sys-Engineering-Upgrade04,749
R-Sys-Engineering05,Sys-Engineering-Upgrade05,750
R-Sys-Engineering06,Sys-Engineering-Upgrade06,749
R-Sys-Engineering07,Sys-Engineering-Upgrade07,750
R-Sys-Engineering08,Sys-Engineering-Upgrade08,749
R-Sys-Engineering09,Sys-Engineering-Upgrade09,750
R-Sys-Engineering10,Sys-Engineering-Upgrade10,750
R-Sys-Resistance-Upgrade01,Sys-Resistance-Upgrade01,1100
R-Sys-Resistance-Upgrade02,Sys-Resistance-Upgrade02,1100
R-Sys-Resistance-Upgrade03,Sys-Resistance-Upgrade03,1100
R-NEXUS-Immunity,NEXUS-Immunity,1100
R-Sys-Sensor-Upgrade01,Sys-Sensor-Upgrade01,463
R-Sys-Sensor-Upgrade02,Sys-Sensor-Upgrade02,1035
R-Sys-Sensor-Upgrade03,Sys-Sensor-Upgrade03,1037
R-Vehicle-Armor-Heat01,Vehicle-Armor-Heat01,970
R-Vehicle-Armor-Heat02,Vehicle-Armor-Heat02,971
R-Vehicle-Armor-Heat03,Vehicle-Armor-Heat03,972
R-Vehicle-Armor-Heat04,Vehicle-Armor-Heat04,973
R-Vehicle-Armor-Heat05,Vehicle-Armor-Heat05,974
R-Vehicle-Armor-Heat06,Vehicle-Armor-Heat06,975
R-Vehicle-Armor-Heat07,Vehicle-Armor-Heat07,1085
R-Vehicle-Armor-Heat08,Vehicle-Armor-Heat08,1086
R-Vehicle-Armor-Heat09,Vehicle-Armor-Heat09,1087
