Research ID,Component ID,Type,Replaced Component,Replaced Type,unused
R-Comp-CommandTurret01,CommandBrain01,BRAIN,0,0,3
R-Comp-CommandTurret02,CommandBrain02,BRAIN,0,0,10
R-Comp-CommandTurret03,CommandBrain03,BRAIN,0,0,10
R-Comp-CommandTurret04,CommandBrain04,BRAIN,0,0,10
R-Comp-CommandTurret01Hvy,CommandBrainHvy,BRAIN,0,0,3
R-Comp-CommandTurret02Hvy,CommandBrainHvy2,BRAIN,0,0,10
R-Comp-CommandTurret03Hvy,CommandBrainHvy3,BRAIN,0,0,10
R-Comp-CommandTurret04Hvy,CommandBrainHvy4,BRAIN,0,0,10
R-Cyborg-Transport,TransporterBody,BODY,0,0,2
R-SuperTransport,SuperTransportBody,BODY,0,0,2
R-Sys-Autorepair-General,AutoRepair,REPAIR,ZNULLREPAIR,REPAIR,6
R-Sys-Engineering01,Cyb-Bod-ComEng,BODY,0,0,2
R-Sys-Spade1Mk1,Spade1Mk1,CONSTRUCT,0,0,11
R-Sys-Spade1Hvy,Spade1Hvy,CONSTRUCT,0,0,11
R-Sys-Spade1Hvy,HvyCyb-Bod-ComEng,BODY,0,0,11
R-Sys-Spade2Mk1,Cyb-Bod-ComEng2,BODY,0,0,2
R-Sys-Spade2Mk1,Spade2Mk1,CONSTRUCT,0,0,11
R-Sys-Spade2Hvy,Spade2Hvy,CONSTRUCT,0,0,11
R-Sys-Spade2Hvy,HvyCyb-Bod-ComEng2,BODY,0,0,11
R-Sys-Spade3Mk1,Cyb-Bod-ComEng3,BODY,0,0,2
R-Sys-Spade3Mk1,Spade3Mk1,CONSTRUCT,0,0,11
R-Sys-Spade3Hvy,Spade3Hvy,CONSTRUCT,0,0,11
R-Sys-Spade3Hvy,HvyCyb-Bod-ComEng3,BODY,0,0,11
R-Sys-Spade4Mk1,Cyb-Bod-ComEng4,BODY,0,0,2
R-Sys-Spade4Mk1,Spade4Mk1,CONSTRUCT,0,0,11
R-Sys-Spade4Hvy,Spade4Hvy,CONSTRUCT,0,0,11
R-Sys-Spade4Hvy,HvyCyb-Bod-ComEng4,BODY,0,0,11
R-Sys-MobileRepairTurret01,LightRepair1,REPAIR,0,0,6
