Research ID,Structure ID,unused,unused
R-Defense-TankTrap01,A0TankTrap,0,0
R-Defense-TankTrapGate,TankTrapGate,0,0
R-Defense-HardcreteWall,A0HardcreteMk1CWall,0,97
R-Defense-HardcreteWall,A0HardcreteMk1Wall,0,93
R-Defense-HardcreteGate,A0HardcreteMk1Gate,0,666
R-Defense-SupercreteWall,SupercreteCWall,0,97
R-Defense-SupercreteWall,SupercreteWall,0,93
R-Defense-PlascreteWall,PlascreteCWall,0,97
R-Defense-PlascreteWall,PlascreteWall,0,93
R-Defense-PlasteelWall,PlasteelCWall,0,97
R-Defense-PlasteelWall,PlasteelWall,0,93
R-Defense-SupercreteGate,SupercreteGate,0,666
R-Defense-PlascreteGate,PlascreteGate,0,666
R-Defense-PlasteelGate,PlasteelGate,0,666
R-Defense-Bunker-Mortar,Bunker-Mortar,0,0
R-Defense-Bunker-MortarHvy,Bunker-MortarHvy,0,0
R-Defense-Bunker-MortarRot,Bunker-MortarRot,0,0
R-Defense-Bunker-MortarInc,Bunker-MortarInc,0,0
R-Defense-Bunker2-MortarEMP,Bunker2-MortarEMP,0,0
R-Defense-Bunker3-MortarHvyPlas,Bunker3-MortarHvyPlas,0,0
R-Defense-Bunker3-MortarRotPlas,Bunker3-MortarRotPlas,0,0
R-Defense-Bunker3-Mortar-Ramjet,Bunker3-Mortar-Ramjet,0,0
R-Defense-Bunker3-Mortar-RamjetHvy,Bunker3-Mortar-RamjetHvy,0,0
R-Defense-Bunker3-Mortar-RamjetRot,Bunker3-Mortar-RamjetRot,0,0
R-Defense-Bunker3-MortarGattling,Bunker3-MortarGattling,0,0
R-Defense-Bunker4-Mortar-Gauss,Bunker4-Mortar-Gauss,0,0
R-Defense-Bunker4-Mortar-GaussHvy,Bunker4-Mortar-GaussHvy,0,0
R-Defense-Bunker4-Mortar-GaussRot,Bunker4-Mortar-GaussRot,0,0
R-Defense-Bunker4-Mortar-GaussInc,Bunker4-Mortar-GaussInc,0,0
R-Defense-Bunker4-Mortar-GaussHvyPlas,Bunker4-Mortar-GaussHvyPlas,0,0
R-Defense-Bunker4-Mortar-GaussRotPlas,Bunker4-Mortar-GaussRotPlas,0,0
R-Defense-Bunker4-Mortar-GaussRamjet,Bunker4-Mortar-GaussRamjet,0,0
R-Defense-Bunker4-Mortar-GaussRamjetHvy,Bunker4-Mortar-GaussRamjetHvy,0,0
R-Defense-Bunker4-Mortar-GaussRamjetRot,Bunker4-Mortar-GaussRamjetRot,0,0
R-Defense-Bunker4-MortarGattlingGauss,Bunker4-MortarGattlingGauss,0,0
R-Defense-Bunker2-Howitzer,Bunker2-Howitzer,0,0
R-Defense-Bunker2-HowitzerHvy,Bunker2-HowitzerHvy,0,0
R-Defense-Bunker2-HowitzerRot,Bunker2-HowitzerRot,0,0
R-Defense-Bunker2-HowitzerInc,Bunker2-HowitzerInc,0,0
R-Defense-Bunker3-HowitzerHvyPlas,Bunker3-HowitzerHvyPlas,0,0
R-Defense-Bunker3-HowitzerRotPlas,Bunker3-HowitzerRotPlas,0,0
R-Defense-Bunker3-HowitzerRamjet,Bunker3-HowitzerRamjet,0,0
R-Defense-Bunker3-HowitzerRamjetHvy,Bunker3-HowitzerRamjetHvy,0,0
R-Defense-Bunker3-HowitzerRamjetRot,Bunker3-HowitzerRamjetRot,0,0
R-Defense-Bunker3-HowitzerBB,Bunker3-HowitzerBB,0,0
R-Defense-Bunker3-HowitzerGattling,Bunker3-HowitzerGattling,0,0
R-Defense-Bunker4-HowitzerGauss,Bunker4-HowitzerGauss,0,0
R-Defense-Bunker4-HowitzerGaussHvy,Bunker4-HowitzerGaussHvy,0,0
R-Defense-Bunker4-HowitzerGaussRot,Bunker4-HowitzerGaussRot,0,0
R-Defense-Bunker4-HowitzerGaussInc,Bunker4-HowitzerGaussInc,0,0
R-Defense-Bunker4-HowitzerGaussHvyPlas,Bunker4-HowitzerGaussHvyPlas,0,0
R-Defense-Bunker4-HowitzerGaussRotPlas,Bunker4-HowitzerGaussRotPlas,0,0
R-Defense-Bunker4-HowitzerGaussRamjet,Bunker4-HowitzerGaussRamjet,0,0
R-Defense-Bunker4-HowitzerGaussRamjetHvy,Bunker4-HowitzerGaussRamjetHvy,0,0
R-Defense-Bunker4-HowitzerGaussRamjetRot,Bunker4-HowitzerGaussRamjetRot,0,0
R-Defense-Bunker4-HowitzerGaussBB,Bunker4-HowitzerGaussBB,0,0
R-Defense-Bunker4-HowitzerGattlingGauss,Bunker4-HowitzerGattlingGauss,0,0
R-Defense-Bunker-Cannon-Lgt,PillBox4,0,0
R-Defense-Bunker-Cannon-Med,Bunker-Cannon-Med,0,0
R-Defense-Bunker-Cannon-Hvy,Bunker-Cannon-Hvy,0,0
R-Defense-Bunker-Cannon-Aslt,Bunker-Cannon-Aslt,0,0
R-Defense-Bunker-Cannon-TwinAslt,PillBox-Cannon6,0,0
R-Defense-Bunker2-Cannon-HPVLgt,Bunker2-Cannon-HPVLgt,0,0
R-Defense-Bunker2-Cannon-HPVMed,Bunker2-Cannon-HPVMed,0,0
R-Defense-Bunker2-Cannon-HPVHvy,Bunker2-Cannon-HPVHvy,0,0
R-Defense-Bunker2-Cannon-HPVAslt,Bunker2-Cannon-HPVAslt,0,0
R-Defense-Bunker2-Cannon-HPVTwinAslt,Bunker2-Cannon-HPVTwinAslt,0,0
R-Defense-Bunker-Cannon-Flak,Bunker-Cannon-Flak,0,0
R-Defense-Bunker2-Cannon-Shotgun,Bunker2-Cannon-Shotgun,0,0
R-Defense-Bunker2-Cannon-Sniper,Bunker2-Cannon-Sniper,0,0
R-Defense-Bunker2-Cannon-Gattling,Bunker2-Cannon-Gattling,0,0
R-Defense-Bunker3-Cannon-HPVGattling,Bunker3-Cannon-HPVGattling,0,0
R-Defense-Bunker3-Cannon-Ramjet,Bunker3-Cannon-Ramjet,0,0
R-Defense-Bunker2-Cannon-Inc,Bunker2-Cannon-Inc,0,0
R-Defense-Bunker3-Cannon-Plas,Bunker3-Cannon-Plas,0,0
R-Defense-Bunker2-EMP-Cannon,Bunker2-EMP-Cannon,0,0
R-Defense-Bunker4-Flamer-PlasmaCannon,Bunker4-Flamer-PlasmaCannon,0,0
R-Defense-Bunker2-Laser-AP1,Bunker2-Laser-AP1,0,0
R-Defense-Bunker2-Laser-AT1,Bunker2-Laser-AT1,0,0
R-Defense-Bunker2-Laser-AP2,Bunker2-Laser-AP2,0,0
R-Defense-Bunker2-Laser-AT2,Bunker2-Laser-AT2,0,0
R-Defense-Bunker3-Laser-AP3,Bunker3-Laser-AP3,0,0
R-Defense-Bunker3-Laser-AT3,Bunker3-Laser-AT3,0,0
R-Defense-Bunker3-Laser-AP4,Bunker3-Laser-AP4,0,0
R-Defense-Bunker3-Laser-AT4,Bunker3-Laser-AT4,0,0
R-Defense-Bunker-Laser-AA,Bunker-Laser-AA,0,0
R-Defense-Bunker3-Laser-AA2,Bunker3-Laser-AA2,0,0
R-Defense-Bunker4-Laser-Plasma,Bunker4-Laser-Plasma,0,0
R-Defense-Bunker-MG1,PillBox1,0,0
R-Defense-Bunker-MG2,PillBox2,0,0
R-Defense-Bunker-MG3,PillBox3,0,0
R-Defense-Bunker-MG3Twin,Bunker-MG3Twin,0,0
R-Defense-Bunker2-MG4,Pillbox-RotMG,0,0
R-Defense-Bunker2-MG5,Bunker2-MG5,0,0
R-Defense-Bunker-MG-AntiTank,Bunker-MG-AntiTank,0,0
R-Defense-Bunker-MG-AntiTankTwin,Bunker-MG-AntiTankTwin,0,0
R-Defense-Bunker2-MG-AntiTank2,Bunker2-MG-AntiTank2,0,0
R-Defense-Bunker2-MG-AntiTank2Twin,Bunker2-MG-AntiTank2Twin,0,0
R-Defense-Bunker-MG-AALgt,Bunker-MG-AALgt,0,0
R-Defense-Bunker-MG-AA,Bunker-MG-AA,0,0
R-Defense-Bunker2-MG-AA2Lgt,Bunker2-MG-AA2Lgt,0,0
R-Defense-Bunker2-MG-AA2,Bunker2-MG-AA2,0,0
R-Defense-Bunker-MG3Inc,Bunker-MG3Inc,0,0
R-Defense-Bunker-MG3IncTwin,Bunker-MG3IncTwin,0,0
R-Defense-Bunker3-MG4Inc,Bunker3-MG4Inc,0,0
R-Defense-Bunker3-MG4IncTwin,Bunker3-MG4IncTwin,0,0
R-Defense-Bunker3-Railgun-Gattling,Bunker3-Railgun-Gattling,0,0
R-Defense-Bunker3-Railgun-GattlingInc,Bunker3-Railgun-GattlingInc,0,0
R-Defense-Bunker3-Railgun-GattlingTwin,Bunker3-Railgun-GattlingTwin,0,0
R-Defense-Bunker3-Railgun-GattlingIncTwin,Bunker3-Railgun-GattlingIncTwin,0,0
R-Defense-Bunker3-Railgun-GattlingAALgt,Bunker3-Railgun-GattlingAALgt,0,0
R-Defense-Bunker3-Railgun-GattlingAA,Bunker3-Railgun-GattlingAA,0,0
R-Defense-Bunker3-MG-AntiTankGss,Bunker3-MG-AntiTankGss,0,0
R-Defense-Bunker3-MG-AntiTankGssTwin,Bunker3-MG-AntiTankGssTwin,0,0
R-Defense-Bunker4-Railgun-Gattling,Bunker4-Railgun-Gattling,0,0
R-Defense-Bunker4-Railgun-GattlingInc,Bunker4-Railgun-GattlingInc,0,0
R-Defense-Bunker4-Railgun-GattlingAA,Bunker4-Railgun-GattlingAA,0,0
R-Defense-Bunker-Railgun-Proto,Bunker-Railgun-Proto,0,0
R-Defense-Bunker2-Railgun-Proto,Bunker2-Railgun-Proto,0,0
R-Defense-Bunker3-Railgun-Lgt,Bunker3-Railgun-Lgt,0,0
R-Defense-Bunker3-Railgun-Med,Bunker3-Railgun-Med,0,0
R-Defense-Bunker3-Railgun-Hvy,Bunker3-Railgun-Hvy,0,0
R-Defense-Bunker3-Railgun-Aslt,Bunker3-Railgun-Aslt,0,0
R-Defense-Bunker3-Railgun-TwinAslt,Bunker3-Railgun-TwinAslt,0,0
R-Defense-Bunker3-Railgun-Shotgun,Bunker3-Railgun-Shotgun,0,0
R-Defense-Bunker3-Railgun-Sniper,Bunker3-Railgun-Sniper,0,0
R-Defense-Bunker3-Railgun-Flak,Bunker3-Railgun-Flak,0,0
R-Defense-Bunker4-Railgun-GattlingAT,Bunker4-Railgun-GattlingAT,0,0
